symbol,time,assets,owner,shares,underlying,caller,tx,chain,contract,block
uCVX,1654493977,120.4615,0xeB646601C725b1f146a045f4aFf5a77567519b1a,120.3505592,0xBCe0Cf87F513102F22232436CCa2ca49e815C3aC,0x35A398425d9f1029021A92bc3d2557D42C8588D7,0x66bc22135bb740c8afd57e3b6179eb4179b2835ce834ed751b4705fa25deb645,ethereum,0x8659Fc767cad6005de79AF65dAfE4249C57927AF,14913270
xMPL,1654537037,10,0x708aE4290F36e640460Ea42c6cEb907E979A3C60,9.986574561,0x33349B282065b0284d756F0577FB39c158F935e6,0x708aE4290F36e640460Ea42c6cEb907E979A3C60,0x2b7b4984eb44c756a31cce4526b18383cc016a33e2ea77156b0c17211b2ee40c,ethereum,0x4937A209D4cDbD3ecD48857277cfd4dA4D82914c,14916184
xMPL,1654229010,20838.35738,0xa4152B916c77614A46843263cF4F093820D386BD,20820.28427,0x33349B282065b0284d756F0577FB39c158F935e6,0xa4152B916c77614A46843263cF4F093820D386BD,0x9e7ff27241886d902ae4a3a7db9518935b9fbe276fe6174158e03dde91f9a688,ethereum,0x4937A209D4cDbD3ecD48857277cfd4dA4D82914c,14894995
vTHOR,1654434455,1323.834836,0xdD739181C400bF2c9a74cBe69C6BE9DdA210851e,1176.75636,0xa5f2211B9b8170F694421f2046281775E8468044,0xdD739181C400bF2c9a74cBe69C6BE9DdA210851e,0x596b8bdd1c8529b33b65217cea293395e9937d4c5f4803c95b15343b203438e4,ethereum,0x815C23eCA83261b6Ec689b60Cc4a58b54BC24D8D,14909273
xMPL,1654537131,56.33570358,0x708aE4290F36e640460Ea42c6cEb907E979A3C60,56.2600627,0x33349B282065b0284d756F0577FB39c158F935e6,0x708aE4290F36e640460Ea42c6cEb907E979A3C60,0x2eae9c38e5140dbadaaf4121e5af7773c3c6c13d02d66703df27ea46485c77e9,ethereum,0x4937A209D4cDbD3ecD48857277cfd4dA4D82914c,14916190
∞-yvWETH-xPYT,1654548787,0.1,0x000000004b60a12164e6942dCd3e007F079b725B,0.1,0xa3Ea4046EbF1e9530736627Dfab399100aaaFF28,0x36b49ebF089BE8860d7fC60f2553461E9Cc8e9e2,0xb596355081da21d6c78f5396a1dfcd71e07498732413a286427e67d06edcddb4,ethereum,0x12d92fe0Aa1c59C4f7a704D16561CFbaF17eC257,14917002
xMPL,1654230884,480.1681792,0xa4152B916c77614A46843263cF4F093820D386BD,479.7500355,0x33349B282065b0284d756F0577FB39c158F935e6,0xa4152B916c77614A46843263cF4F093820D386BD,0xc49f1ac854a5ff62d244dfd4c972b385c7eb28cc21d45744761103ca09cef83f,ethereum,0x4937A209D4cDbD3ecD48857277cfd4dA4D82914c,14895113
xMPL,1654494331,9.681,0x2da86e56c3f5E74d0657DfeF2f5cD85E6128730B,9.668608046,0x33349B282065b0284d756F0577FB39c158F935e6,0x2da86e56c3f5E74d0657DfeF2f5cD85E6128730B,0x1b45930a9ee7d6a4d124da5de461215caded8a069069d5f405b279f6f3fb368c,ethereum,0x4937A209D4cDbD3ecD48857277cfd4dA4D82914c,14913293
uCVX,1654238687,105.8537056,0x0D1b54d6803CE3C390F74745D5F4E0Fb38c076a1,105.7562181,0xBCe0Cf87F513102F22232436CCa2ca49e815C3aC,0x35A398425d9f1029021A92bc3d2557D42C8588D7,0x759678225a33c8f86f22184158b9725bb40b213e2acc548c4091b2b54055d5f2,ethereum,0x8659Fc767cad6005de79AF65dAfE4249C57927AF,14895661
vTHOR,1654436183,71461.11606,0x3bD36911EB7Fd87E41f7bFeD093D4E2927a85d5F,63431.15978,0xa5f2211B9b8170F694421f2046281775E8468044,0x3bD36911EB7Fd87E41f7bFeD093D4E2927a85d5F,0x613157975f9e8469d9851b9bbbec46b6333bd83eca75aff829ea5039cfb6fe6c,ethereum,0x815C23eCA83261b6Ec689b60Cc4a58b54BC24D8D,14909399
vTHOR,1654240997,2694.51873,0x32ff00aA5cAdf40f86C4D7FDaCFd2732FfC6B557,2406.921626,0xa5f2211B9b8170F694421f2046281775E8468044,0x32ff00aA5cAdf40f86C4D7FDaCFd2732FfC6B557,0xa6938d60a4af46b5e9435b1dba7067e4d88a49151a04874980e8871364946afd,ethereum,0x815C23eCA83261b6Ec689b60Cc4a58b54BC24D8D,14895805
